id,country_id,name,ori_name,code,lat,lng,modified
1,1,Baden-Württemberg,Baden-Württemberg,BW,48.661606,9.350134,2024-01-15 12:00:00
2,1,Bavaria,Bayern,BY,48.790447,11.497889,2024-01-15 12:00:00
3,1,Berlin,Berlin,BE,52.520008,13.404954,2024-01-15 12:00:00
4,1,Brandenburg,Brandenburg,BB,52.411633,12.531659,2024-01-15 12:00:00
5,1,Bremen,Bremen,HB,53.079296,8.801694,2024-01-15 12:00:00
6,1,Hamburg,Hamburg,HH,53.551086,9.993682,2024-01-15 12:00:00
7,1,Hesse,Hessen,HE,50.652943,9.162439,2024-01-15 12:00:00
8,1,Lower Saxony,Niedersachsen,NI,52.636704,9.845076,2024-01-15 12:00:00
9,1,Mecklenburg-Vorpommern,Mecklenburg-Vorpommern,MV,53.612679,12.429463,2024-01-15 12:00:00
10,1,North Rhine-Westphalia,Nordrhein-Westfalen,NW,51.433237,7.661594,2024-01-15 12:00:00
11,1,Rhineland-Palatinate,Rheinland-Pfalz,RP,49.914703,7.452008,2024-01-15 12:00:00
12,1,Saarland,Saarland,SL,49.396071,6.994148,2024-01-15 12:00:00
13,1,Saxony,Sachsen,SN,51.104815,13.201324,2024-01-15 12:00:00
14,1,Saxony-Anhalt,Sachsen-Anhalt,ST,51.950258,11.695538,2024-01-15 12:00:00
15,1,Schleswig-Holstein,Schleswig-Holstein,SH,54.216937,9.696117,2024-01-15 12:00:00
16,1,Thuringia,Thüringen,TH,50.974697,11.029194,2024-01-15 12:00:00
17,2,Burgenland,Burgenland,1,47.156237,16.266937,2024-01-15 12:00:00
18,2,Carinthia,Kärnten,2,46.723530,13.899212,2024-01-15 12:00:00
19,2,Lower Austria,Niederösterreich,3,48.208763,15.632677,2024-01-15 12:00:00
20,2,Upper Austria,Oberösterreich,4,48.025093,13.974430,2024-01-15 12:00:00
21,2,Salzburg,Salzburg,5,47.809490,13.055010,2024-01-15 12:00:00
22,2,Styria,Steiermark,6,47.372962,14.511337,2024-01-15 12:00:00
23,2,Tyrol,Tirol,7,47.259659,11.400375,2024-01-15 12:00:00
24,2,Vorarlberg,Vorarlberg,8,47.249323,9.979619,2024-01-15 12:00:00
25,2,Vienna,Wien,9,48.208176,16.373819,2024-01-15 12:00:00
26,3,Aargau,Aargau,AG,47.391246,8.145998,2024-01-15 12:00:00
27,3,Appenzell Ausserrhoden,Appenzell Ausserrhoden,AR,47.366074,9.300033,2024-01-15 12:00:00
28,3,Appenzell Innerrhoden,Appenzell Innerrhoden,AI,47.316667,9.416667,2024-01-15 12:00:00
29,3,Basel-Landschaft,Basel-Landschaft,BL,47.482778,7.733611,2024-01-15 12:00:00
30,3,Basel-Stadt,Basel-Stadt,BS,47.558395,7.573271,2024-01-15 12:00:00
31,3,Bern,Bern,BE,46.947456,7.451123,2024-01-15 12:00:00
32,3,Fribourg,Fribourg,FR,46.718391,7.074008,2024-01-15 12:00:00
33,3,Geneva,Genève,GE,46.204391,6.143158,2024-01-15 12:00:00
34,3,Glarus,Glarus,GL,47.040833,9.067778,2024-01-15 12:00:00
35,3,Grisons,Graubünden,GR,46.656248,9.577963,2024-01-15 12:00:00
36,3,Jura,Jura,JU,47.350833,7.156389,2024-01-15 12:00:00
37,3,Lucerne,Luzern,LU,47.050168,8.309307,2024-01-15 12:00:00
38,3,Neuchâtel,Neuchâtel,NE,47.003333,6.930000,2024-01-15 12:00:00
39,3,Nidwalden,Nidwalden,NW,46.926755,8.385328,2024-01-15 12:00:00
40,3,Obwalden,Obwalden,OW,46.877778,8.251389,2024-01-15 12:00:00
41,3,St. Gallen,St. Gallen,SG,47.424484,9.376717,2024-01-15 12:00:00
42,3,Schaffhausen,Schaffhausen,SH,47.697440,8.634758,2024-01-15 12:00:00
43,3,Schwyz,Schwyz,SZ,47.020833,8.653056,2024-01-15 12:00:00
44,3,Solothurn,Solothurn,SO,47.330000,7.540000,2024-01-15 12:00:00
45,3,Thurgau,Thurgau,TG,47.554163,9.049817,2024-01-15 12:00:00
46,3,Ticino,Ticino,TI,46.331841,8.802011,2024-01-15 12:00:00
47,3,Uri,Uri,UR,46.880355,8.627128,2024-01-15 12:00:00
48,3,Valais,Valais,VS,46.230833,7.358889,2024-01-15 12:00:00
49,3,Vaud,Vaud,VD,46.570091,6.657809,2024-01-15 12:00:00
50,3,Zug,Zug,ZG,47.166667,8.516667,2024-01-15 12:00:00
51,3,Zürich,Zürich,ZH,47.369221,8.538961,2024-01-15 12:00:00
52,31,Alabama,Alabama,AL,32.806671,-86.791130,2024-01-15 12:00:00
53,31,Alaska,Alaska,AK,61.370716,-152.404419,2024-01-15 12:00:00
54,31,Arizona,Arizona,AZ,33.729759,-111.431221,2024-01-15 12:00:00
55,31,Arkansas,Arkansas,AR,34.969704,-92.373123,2024-01-15 12:00:00
56,31,California,California,CA,36.116203,-119.681564,2024-01-15 12:00:00
57,31,Colorado,Colorado,CO,39.059811,-105.311104,2024-01-15 12:00:00
58,31,Connecticut,Connecticut,CT,41.597782,-72.755371,2024-01-15 12:00:00
59,31,Delaware,Delaware,DE,39.318523,-75.507141,2024-01-15 12:00:00
60,31,Florida,Florida,FL,27.766279,-81.686783,2024-01-15 12:00:00
61,31,Georgia,Georgia,GA,33.040619,-83.643074,2024-01-15 12:00:00
62,31,Hawaii,Hawaii,HI,21.094318,-157.498337,2024-01-15 12:00:00
63,31,Idaho,Idaho,ID,44.240459,-114.478828,2024-01-15 12:00:00
64,31,Illinois,Illinois,IL,40.349457,-88.986137,2024-01-15 12:00:00
65,31,Indiana,Indiana,IN,39.849426,-86.258278,2024-01-15 12:00:00
66,31,Iowa,Iowa,IA,42.011539,-93.210526,2024-01-15 12:00:00
67,31,Kansas,Kansas,KS,38.526600,-96.726486,2024-01-15 12:00:00
68,31,Kentucky,Kentucky,KY,37.668140,-84.670067,2024-01-15 12:00:00
69,31,Louisiana,Louisiana,LA,31.169546,-91.867805,2024-01-15 12:00:00
70,31,Maine,Maine,ME,44.693947,-69.381927,2024-01-15 12:00:00
71,31,Maryland,Maryland,MD,39.063946,-76.802101,2024-01-15 12:00:00
72,31,Massachusetts,Massachusetts,MA,42.230171,-71.530106,2024-01-15 12:00:00
73,31,Michigan,Michigan,MI,43.326618,-84.536095,2024-01-15 12:00:00
74,31,Minnesota,Minnesota,MN,45.694454,-93.900192,2024-01-15 12:00:00
75,31,Mississippi,Mississippi,MS,32.741646,-89.678696,2024-01-15 12:00:00
76,31,Missouri,Missouri,MO,38.456085,-92.288368,2024-01-15 12:00:00
77,31,Montana,Montana,MT,46.921925,-110.454353,2024-01-15 12:00:00
78,31,Nebraska,Nebraska,NE,41.125370,-98.268082,2024-01-15 12:00:00
